epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,4607.53,0.83888,0.68629,0.81598,0.80959,0.64546,0.75575,0.57693,0.74429,0.62885,0.80653,0.00505,0.00505,0.00505
152,4639.65,0.8441,0.69655,0.81467,0.80827,0.64608,0.75569,0.57745,0.74413,0.62903,0.80651,0.005017,0.005017,0.005017
153,4672.37,0.83137,0.68013,0.81143,0.80089,0.65223,0.75665,0.57856,0.74356,0.62878,0.80638,0.004984,0.004984,0.004984
154,4703.51,0.84289,0.68054,0.81767,0.79939,0.6536,0.75695,0.57844,0.74366,0.6281,0.80648,0.004951,0.004951,0.004951
155,4733.59,0.83824,0.67842,0.81712,0.80141,0.65209,0.75709,0.57906,0.7434,0.62819,0.80641,0.004918,0.004918,0.004918
156,4764.2,0.82323,0.65232,0.81261,0.80493,0.64955,0.75769,0.57933,0.74331,0.62811,0.80636,0.004885,0.004885,0.004885
157,4794.28,0.82244,0.66681,0.81369,0.80927,0.64721,0.7582,0.57945,0.74302,0.62692,0.80643,0.004852,0.004852,0.004852
158,4823.65,0.83357,0.66725,0.81259,0.80855,0.64857,0.75868,0.57979,0.74266,0.62663,0.80635,0.004819,0.004819,0.004819
159,4854.75,0.82967,0.65864,0.81677,0.81007,0.64943,0.75962,0.58025,0.74326,0.62703,0.80636,0.004786,0.004786,0.004786
160,4884.44,0.82563,0.65786,0.81421,0.81114,0.65032,0.7606,0.58058,0.74278,0.62642,0.80634,0.004753,0.004753,0.004753
161,4915.21,0.84379,0.66348,0.81522,0.81295,0.64818,0.76084,0.5809,0.74263,0.62584,0.80637,0.00472,0.00472,0.00472
162,4944.98,0.81895,0.65894,0.81337,0.81356,0.64887,0.76143,0.5812,0.74269,0.62583,0.80625,0.004687,0.004687,0.004687
163,4974.5,0.81762,0.65383,0.81296,0.81831,0.64914,0.7615,0.58153,0.74243,0.62516,0.80621,0.004654,0.004654,0.004654
164,5004.37,0.81563,0.64856,0.81461,0.81913,0.64884,0.76224,0.58158,0.74229,0.62472,0.80619,0.004621,0.004621,0.004621
165,5034.84,0.83512,0.6614,0.81749,0.81518,0.64972,0.7623,0.58182,0.74239,0.62393,0.80615,0.004588,0.004588,0.004588
166,5066.98,0.82174,0.65485,0.81561,0.81802,0.64941,0.76274,0.58278,0.74191,0.62305,0.80609,0.004555,0.004555,0.004555
167,5098.13,0.81584,0.64868,0.81344,0.81993,0.6502,0.7628,0.58351,0.74146,0.62326,0.80607,0.004522,0.004522,0.004522
168,5128.04,0.81309,0.63477,0.81156,0.82494,0.64811,0.76317,0.58375,0.74149,0.62245,0.80607,0.004489,0.004489,0.004489
169,5159.17,0.82211,0.64532,0.81456,0.81784,0.65198,0.76383,0.58465,0.74157,0.62286,0.80604,0.004456,0.004456,0.004456
170,5192.59,0.82488,0.65156,0.81461,0.82087,0.65154,0.76378,0.58465,0.74147,0.62195,0.80605,0.004423,0.004423,0.004423
171,5223.5,0.81959,0.63517,0.81749,0.81529,0.65235,0.76405,0.58444,0.74139,0.62245,0.80597,0.00439,0.00439,0.00439
172,5254.76,0.81205,0.63051,0.80757,0.81576,0.65357,0.76509,0.58498,0.74115,0.62159,0.80599,0.004357,0.004357,0.004357
173,5286.6,0.82076,0.63326,0.81484,0.81477,0.65379,0.76553,0.58524,0.74122,0.62133,0.80594,0.004324,0.004324,0.004324
174,5316.91,0.80053,0.62003,0.81018,0.81917,0.65259,0.76622,0.58583,0.74114,0.62103,0.80584,0.004291,0.004291,0.004291
175,5347.49,0.81001,0.62965,0.81025,0.82226,0.65007,0.76652,0.58586,0.74054,0.62089,0.80586,0.004258,0.004258,0.004258
176,5377.33,0.80707,0.61783,0.81362,0.82349,0.65058,0.76732,0.58677,0.74045,0.6212,0.80587,0.004225,0.004225,0.004225
177,5408.34,0.81262,0.63524,0.81195,0.76974,0.68604,0.76758,0.58649,0.7404,0.62071,0.8059,0.004192,0.004192,0.004192
